time,image,latitude,longitude,altitude,yaw,pitch,roll,xyAccuracy,zAccuracy
/// Origin
0.0,Origin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/// AR
1650607431.319595,Image_000001,9.98009262826237e-08,4.2530551265243806e-08,-0.0008268579840660095,-159.60872,46.70846,8.394589,0.1,0.1
1650607433.7693982,Image_000002,-2.421971303524092e-08,4.1863888190892825e-08,-0.010921761393547058,-160.4704,42.37384,-1.9741516,0.1,0.1
1650607434.9192905,Image_000003,4.057542167617025e-08,3.0292967074325035e-08,-0.008546784520149231,-163.17787,42.69678,4.528858,0.1,0.1
1650607435.0859456,Image_000004,-2.989490692133527e-08,2.4616244643943674e-08,-0.015526862815022469,-163.02545,36.208523,2.252729,0.1,0.1
1650607435.2026012,Image_000005,-4.719019498432097e-08,5.7284554883012296e-08,-0.023297512903809547,-163.55107,31.66123,-0.082472034,0.1,0.1
1650607435.635896,Image_000006,-1.0635539956559993e-07,9.066104387804643e-08,-0.03367578983306885,-162.43858,25.782612,-7.1704693,0.1,0.1
1650607435.9192045,Image_000007,-1.1731605879811121e-07,1.0572499439929539e-07,-0.03424585610628128,-162.45273,25.207169,-5.397208,0.1,0.1
1650607436.0358596,Image_000008,-8.779617498285378e-08,1.2512137546738665e-07,-0.026920825242996216,-163.43593,29.124855,-1.7857736,0.1,0.1
/// GPS_raw
1650607417.867621,gps_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
/// GPS_fit
